Model Name,Time To First Token,Prompt Tok/s,Response Tok/s,Num Response Tokens,Avg Tokens per Chunk,Avg Time Between Chunks
open-mistral-nemo-2407,0.28,276.77,98.49,108,4.76,0.01
open-mistral-nemo-2407,0.29,270.21,109.25,497,4.21,0.01
open-mistral-nemo-2407,0.35,225.19,105.69,754,4.49,0.01
open-mistral-nemo-2407,0.53,146.30,135.97,892,8.10,0.02
open-mistral-nemo-2407,0.26,300.22,48.39,251,4.73,0.02
open-mistral-nemo-2407,0.56,139.32,201.93,87,3.52,0.01
open-mistral-nemo-2407,0.32,240.77,109.93,302,4.26,0.01
open-mistral-nemo-2407,0.30,259.59,112.23,848,4.48,0.01
mistral-large-2407,0.99,78.91,14.71,593,3.84,0.06
mistral-large-2407,2.25,34.68,9.90,629,3.86,0.08
mistral-large-2407,0.35,225.62,30.97,603,3.68,0.03
mistral-large-2407,0.35,220.03,14.59,587,3.67,0.06
mistral-large-2407,0.59,132.22,15.27,622,3.76,0.05
mistral-large-2407,0.76,102.06,7.81,539,3.74,0.10
mistral-large-2407,0.46,169.13,15.68,612,3.89,0.05
mistral-large-2407,0.86,90.27,7.76,559,3.86,0.11
mistral-large-2407,0.45,174.05,19.19,517,3.81,0.04
mistral-large-2407,0.44,177.74,20.58,639,3.72,0.04
codestral-2405,0.97,80.14,51.27,662,4.09,0.02
codestral-2405,0.57,137.60,44.81,674,4.00,0.02
codestral-2405,0.54,144.16,51.45,685,4.11,0.02
codestral-2405,0.30,263.87,46.86,642,4.09,0.02
codestral-2405,0.39,202.18,51.98,754,3.98,0.02
codestral-2405,0.33,234.60,24.20,843,3.92,0.03
codestral-2405,0.31,248.15,47.89,628,3.90,0.02
codestral-2405,0.23,336.06,50.21,620,3.97,0.02
codestral-2405,0.50,155.90,56.68,774,4.14,0.02
codestral-2405,0.56,139.25,55.17,725,4.28,0.02
gemini-1.5-flash,0.57,137.56,140.38,696,222.93,0.33
gemini-1.5-flash,0.37,213.66,144.51,693,214.27,0.32
gemini-1.5-flash,0.40,196.29,143.94,656,215.40,0.30
gemini-1.5-flash,0.32,242.34,141.08,656,214.27,0.31
gemini-1.5-flash,0.38,205.19,140.68,659,206.47,0.31
gemini-1.5-flash,0.57,137.53,142.04,668,214.07,0.31
gemini-1.5-flash,0.37,212.28,142.74,697,228.93,0.33
gemini-1.5-flash,0.41,188.50,137.66,661,209.00,0.32
gemini-1.5-flash,0.36,218.92,145.67,640,212.14,0.31
gemini-1.5-flash,0.40,193.17,142.40,673,216.67,0.32
gemini-1.5-pro,0.80,97.48,50.93,531,192.31,0.80
gemini-1.5-pro,0.51,153.06,51.91,479,196.00,0.77
gemini-1.5-pro,0.47,166.22,51.91,617,201.64,0.85
gemini-1.5-pro,0.62,125.15,49.02,741,216.62,0.94
gemini-1.5-pro,0.56,139.81,52.65,608,197.57,0.82
gemini-1.5-pro,0.53,147.22,52.27,625,214.36,0.85
gemini-1.5-pro,0.62,126.55,51.10,679,212.00,0.89
gemini-1.5-pro,0.63,123.69,46.40,515,205.17,0.92
gemini-1.5-pro,0.73,106.34,49.02,637,212.29,0.93
gemini-1.5-pro,1.23,63.55,47.30,525,185.15,0.85
gpt-4o,0.77,100.53,41.20,826,4.99,0.02
gpt-4o,0.73,105.43,71.01,833,4.61,0.01
gpt-4o,0.73,105.95,99.84,817,4.60,0.01
gpt-4o,2.28,33.80,58.67,799,4.80,0.02
gpt-4o,0.37,207.63,61.46,803,4.76,0.02
gpt-4o,0.55,139.72,52.83,798,4.65,0.02
gpt-4o,0.78,98.59,70.51,834,4.75,0.01
gpt-4o,0.61,127.10,54.58,832,5.06,0.02
gpt-4o,0.71,108.29,49.10,858,4.71,0.02
gpt-4o,0.40,194.78,43.24,806,4.91,0.02
gpt-4o,0.37,208.31,74.42,928,4.71,0.01
gpt-4o,0.55,139.41,69.67,725,4.88,0.01
gpt-4o,0.31,251.39,61.09,891,4.80,0.02
gpt-4o,0.56,138.10,67.68,822,4.79,0.01
gpt-4o,0.60,128.41,55.36,824,4.72,0.02
gpt-4o,0.61,126.58,70.72,739,4.90,0.01
gpt-4o,0.67,114.86,54.85,942,4.47,0.02
gpt-4o,0.65,118.45,40.46,731,4.62,0.02
gpt-4o,0.39,199.53,66.97,909,4.65,0.01
gpt-4o,0.41,188.46,52.03,841,4.69,0.02
gpt-4o,0.25,307.97,69.01,962,4.47,0.01
gpt-4o,0.46,167.69,77.53,850,4.88,0.01
gpt-4o,0.36,216.13,60.56,782,4.96,0.02
gpt-4o,0.60,127.96,81.01,903,4.62,0.01
gpt-4o,0.40,194.65,40.76,713,4.85,0.02
gpt-4o,0.67,114.63,25.10,736,4.99,0.04
gpt-4o,0.77,99.46,59.52,814,4.55,0.02
gpt-4o,0.41,186.06,62.19,827,4.71,0.02
gpt-4o,0.23,330.48,64.34,797,4.96,0.02
gpt-4o,0.66,116.96,69.12,838,5.00,0.01
gpt-4o,0.44,175.51,75.77,779,4.78,0.01
gpt-4o,0.56,136.73,70.35,789,4.76,0.01
gpt-4o,0.33,234.44,70.22,801,4.77,0.01
gpt-4o,0.39,197.35,57.78,768,4.73,0.02
gpt-4o,0.34,228.37,67.34,829,4.48,0.01
gpt-4o,0.36,212.71,57.04,748,5.07,0.02
gpt-4o,0.66,116.74,56.97,771,4.93,0.02
gpt-4o,0.90,85.10,68.39,872,4.63,0.01
gpt-4o,0.59,131.34,68.21,721,4.69,0.01
gpt-4o,0.32,240.65,78.81,830,4.71,0.01
gpt-4o,0.61,127.22,77.71,878,4.67,0.01
gpt-4o,0.32,236.93,44.36,781,4.63,0.02
gpt-4o,0.86,89.95,64.90,903,4.71,0.02
gpt-4o,5.59,13.78,35.18,734,4.67,0.03
gpt-4o,0.64,119.62,60.79,842,4.56,0.02
gpt-4o,0.35,219.35,81.29,757,4.91,0.01
gpt-4o,0.69,110.94,62.42,835,4.62,0.02
gpt-4o,0.57,134.95,82.62,765,4.84,0.01
gpt-4o,0.60,128.46,55.84,847,4.81,0.02
gpt-4o,0.64,119.49,68.66,733,4.93,0.01
gpt-4o-mini,0.83,93.30,72.18,740,4.82,0.01
gpt-4o-mini,1.97,39.09,74.48,714,4.85,0.01
gpt-4o-mini,0.55,140.64,65.47,756,4.72,0.02
gpt-4o-mini,0.61,126.68,65.77,824,4.97,0.02
gpt-4o-mini,0.42,184.63,48.53,702,4.84,0.02
gpt-4o-mini,0.60,129.04,44.38,778,4.75,0.02
gpt-4o-mini,0.60,128.14,64.26,751,4.90,0.02
gpt-4o-mini,0.62,124.36,42.02,666,4.79,0.02
gpt-4o-mini,0.69,111.13,55.03,798,4.77,0.02
